id,source,title,url,text
DOC0001,WHO,Tuberculosis,https://www.who.int/news-room/fact-sheets/detail/tuberculosis,"Key facts A total of 1.23 million people died from tuberculosis (TB) in 2024 (including 150 000 among people with HIV). Globally, TB is the world’s leading cause of death from a single infectious agent and among the top 10 causes of death. TB was also both the leading killer of people with HIV in 2024 and a major cause of deaths related to antimicrobial resistance. In 2024, an estimated 10.7 million people fell ill with TB worldwide, including 5.8 million men, 3.7 million women and 1.2 million children. TB is present in all countries and age groups. Multidrug-resistant TB (MDR-TB) remains a public health crisis and a health security threat. Only about 2 in 5 people with drug-resistant TB accessed treatment in 2024. Global efforts to combat TB have saved an estimated 83 million lives since the year 2000. TB is preventable and curable. Overview Tuberculosis (TB) is an infectious disease caused by bacteria that most often affects the lungs. It spreads through the air when people with TB cough, sneeze or spit. Tuberculosis is preventable and curable. About a quarter of the global population is estimated to have been infected with TB bacteria. In general, people with TB infection don’t feel sick and are not contagious. About 5–10% of people infected with TB will eventually get symptoms and develop TB disease. Babies and children are at higher risk of developing the disease if they are infected. TB disease is usually treated with antibiotics and can be fatal without treatment. In certain countries, the Bacille Calmette-Guérin (BCG) vaccine is given to babies or small children to prevent TB. The vaccine prevents deaths from TB and protects children from serious forms of TB. Certain conditions can increase a person’s risk for TB disease: diabetes (high blood sugar); weakened immune system (for example, from HIV); undernutrition; tobacco use; and harmful use of alcohol. Symptoms In general, people with TB infection don’t feel sick and are not contagious. Only a small proportion of people who get infected with TB will get TB disease and develop symptoms. Babies and children are at higher risk of developing the disease if they are infected. TB disease occurs when bacteria multiply in the body and affect different organs. TB symptoms may be mild for many months, so it is easy to spread TB to others without knowing it. Symptoms depend on which part of the body is affected. While TB usually affects the lungs, it can also affect the kidneys, brain, and spine. Some people with TB disease do not have any symptoms but can still spread TB. Common symptoms of TB are: prolonged cough (sometimes with blood); chest pain; weakness; fatigue; weight loss; fever; and night sweats The symptoms people get depend on which part of the body is affected by TB. While TB usually affects the lungs, it can also involve the kidneys, brain, spine and skin. Prevention Follow these steps to help prevent tuberculosis infection and spread: Seek medical attention if you have symptoms like prolonged cough, fever and unexplained weight loss as early treatment for TB can help stop the spread of disease and improve your chances of recovery. Get screened for TB if you are at increased risk, such as if you have HIV or are in contact with people who have TB in your household or workplace. TB preventive treatment (or TPT) prevents infection from becoming disease. If prescribed TPT, complete the full course. If you have TB, practice good hygiene when coughing, including avoiding contact with other people and wearing a mask, covering your mouth and nose when coughing or sneezing, and disposing of sputum and used tissues properly. Special measures, like respirators and well-ventilated spaces are important to reduce infection in healthcare facilities and other institutions. Diagnosis WHO recommends the use of rapid diagnostic tests as the initial diagnostic tests in all persons with signs and symptoms of TB. Rapid diagnostic tests recommended by WHO include  biomarker-based point-of-care tests and molecular assays. All these tests are accurate and can provide initial results to guide treatment decisions within 48 hours of sample collection. Use of these tests will lead to major improvements in the early detection of TB and drug-resistant TB. Diagnosing drug-resistant forms of TB, including multidrug-resistant TB, as well as HIV-associated TB and pediatric TB can be complex. WHO recommends specific sample types, tests and strategies to detect these forms of TB to increase the chances of detecting disease early and accurately. A tuberculin skin test (TST), interferon gamma release assay (IGRA) or newer antigen-based skin test (TBST) can be used to identify people with TB infection. The results from these TB infection tests are used to identify which individuals with a high risk of TB will benefit most from TB preventive treatment. Treatment Tuberculosis disease is treated with special antibiotics. Treatment is recommended for both TB infection and disease. The most common antibiotics used are: rifampicin; isoniazid; pyrazinamide; and ethambutol. To be effective, medications need to be taken daily for 4–6 months. It is dangerous to stop the medications early or without medical advice as it can prompt TB bacteria in the body to become resistant to the antibiotics. TB that doesn’t respond to standard drugs is called drug-resistant TB and requires treatment with different medicines. Multidrug-resistant TB (MDR-TB) Drug resistance emerges when TB medicines are used inappropriately, through incorrect prescription by health care providers, poor quality drugs, or patients stopping treatment prematurely. MDR-TB is a form of TB caused by bacteria that do not respond to rifampicin and isoniazid, the two most effective first-line TB drugs. MDR-TB is treatable and curable by using other drugs, which tend to be more expensive and with more side effects. People exposed to MDR-TB may receive TB preventive treatment with levofloxacin. In some cases, extensively drug-resistant TB or XDR-TB can develop. TB caused by bacteria that do not respond to the most effective drugs in MDR-TB treatment regimens can leave patients with very limited treatment options. MDR-TB remains a public health crisis. Only about 2 in 5 people with multidrug-resistant TB accessed treatment in 2024. In accordance with WHO guidelines, detection of MDR-TB requires bacteriological confirmation of TB and testing for drug resistance using rapid molecular tests or culture methods. In 2022, new WHO guidelines prioritized a short 6-month all-oral regimen known as BPaLM/BPaL as a treatment of choice for eligible patients. Globally in 2024, approximately 34 000 people with MDR/RR-TB were reported to have started treatment on the 6-month shorter regimens (known as BPaLM and BDLLfxC), a substantial increase from 5653 in 2023 and 1744 in 2022. The shorter duration, lower pill burden and high efficacy of this novel regimen can help ease the burden on health systems and save precious resources to further expand the diagnostic and treatment coverage for all individuals in need. WHO recommends expanded access to all-oral regimens. TB and HIV People living with HIV are 12 times more likely to fall ill with TB disease than people without HIV. TB is the leading cause of death among people with HIV. HIV and TB form a lethal combination, each accelerating the other's progress. In 2024, about 150 000 people died of HIV-associated TB. The percentage of people who fell ill with TB and had a documented HIV test result was 82% in 2024. This was a slight increase from 81% in 2023. The WHO African Region has the highest burden of HIV-associated TB. Globally in 2024, only 61% of the estimated number of people  living with HIV who developed TB received antiretroviral therapy (ART). WHO first recommended collaborative TB/HIV activities to reduce morbidity and mortality from HIV-associated TB in 2004. These activities include  bidirectional screening, prevention and treatment of infection and disease. Scale-up of TB treatment and ART since 2005 is estimated to have averted 9.8 million deaths. Impact TB mostly affects adults in their most productive years. However, all age groups are at risk. Over 80% of cases and deaths are in low- and middle-income countries. TB occurs in every part of the world. In 2024, the largest number of new TB cases occurred in the WHO South-East Asia Region (34%), followed by the Western Pacific Region (27%) and the African Region (25%). Around 87% of new TB cases occurred in the 30 high TB burden countries, with two-thirds of the global total in India (25%), Indonesia (10%), the Philippines (6.8%), China (6.5%), Pakistan (6.3%), Nigeria (4.8%), the Democratic Republic of the Congo (3.9%) and Bangladesh (3.6%). The top five countries accounted for 55% of the global total. Globally, about 50% of people treated for TB and their households face total costs (direct medical expenditures, non-medical expenditures and indirect costs such as income losses) that are catastrophic (>20% of total household income). This is far from the target of the WHO End TB Strategy of zero. Those with compromised immune systems, such as people living with HIV, undernutrition or diabetes, or people who use tobacco have a higher risk of falling ill. Globally in 2024, there were an estimated 0.97 million new TB cases that were attributable to undernutrition, 0.93 million to diabetes, 0.74 million to alcohol use disorders, 0.70 million to smoking and 0.57 million to HIV infection. Investments to end TB US$ 22 billion are needed annually for TB prevention, diagnosis, treatment and care to achieve global targets by 2027 agreed on at the 2023 UN high level-TB meeting. As in the past decade, most of the spending on TB services in 2024 (82%) was from domestic sources. In absolute terms, Brazil, China, India, the Russian Federation and South Africa accounted for US$ 3.1 billion (64%) of the total of US$ 4.8 billion provided from domestic sources in low- and middle-income countries (LMICs), international donor funding amounted to US$ 1.1 billion, having ranged from US$ 1.1 billion to US$ 1.2 billion in almost every year since 2015. Financing for TB research and innovation, at US$ 1.2 billion in 2023, also continues to fall far short of the global target of US$ 5 billion per year. Progress to date  has been constrained by the overall level of investment. WHO response WHO is working closely with countries, partners and civil society to scaler up the TB response. Six core functions are being pursued by WHO to contribute to achieving the targets of the 2023 UN High-level Meeting political declaration, Sustainable Development Goals, the WHO End TB Strategy and WHO strategic priorities."
DOC0002,NIH,"High Blood Pressure - What Is High Blood Pressure? | NHLBI, NIH",https://www.nhlbi.nih.gov/health/high-blood-pressure,"High Blood Pressure Home < Back To Health Topics High Blood Pressure 0 High Blood Pressure MENU Home < Back To Health Topics High Blood Pressure What Is High Blood Pressure? Symptoms Diagnosis Causes and Risk Factors Treatment Living With High Blood Pressure Pregnancy and High Blood Pressure MORE INFORMATION Participate in a Study Fact Sheets and Handouts Research High Blood Pressure High Blood Pressure What Is High Blood Pressure? Language switcher English Español High blood pressure, or hypertension, is a common condition that occurs when your blood pressure—the force of the blood on the walls of your arteries—is often too high. Medical Animation Copyright © Nucleus Medical Media, All rights reserved. Half of all American adults have high blood pressure, also known as hypertension. Many don’t even know it. High blood pressure develops when blood flows through your arteries artery (ARR-tuh-ree): A blood vessel that carries blood from the heart to the organs. Most arteries carry oxygenated blood. The pulmonary arteries carry deoxygenated blood away from the heart to the lungs. at higher-than-normal pressures. Blood pressures are written as two numbers separated by a slash like this: 120/80 mm Hg. You can say this as “120 over 80 millimeters of mercury” or just as “120 over 80.” The first number is your systolic systolic (sis-TOL-ik): The phase of circulation when the heart pumps and the pressure of blood against the vessels is highest. pressure — that’s the force of the blood flow when blood is pumped out of the heart. The second number is your diastolic diastolic (DY-uh-stol-ik): The phase of circulation when the heart fills and the pressure of blood against the vessels is lowest. pressure, which is measured between heartbeats when the heart is filling with blood. Your blood pressure changes throughout the day based on your activities. A healthy systolic blood pressure is less than 120 mm Hg. A healthy diastolic pressure is less than 80 mm Hg. Your blood pressure is high when you have consistent systolic readings of 130 mm Hg or higher, or diastolic readings of 80 mm Hg or higher. Blood pressure levels Blood Pressure Category Systolic and Diastolic Pressure (mm Hg) Normal Less than 120 systolic pressure AND Less than 80 diastolic pressure Elevated 120 to 129 systolic pressure AND Less than 80 diastolic pressure High Blood Pressure Stage 1 130 to 139 systolic pressure OR 80 to 89 diastolic pressure High Blood Pressure Stage 2 140 or higher systolic pressure OR 90 or higher diastolic pressure Hypertensive Crisis Higher than 180 systolic pressure OR Higher than 120 diastolic pressure Contact your provider immediately. Symptoms Symptom (SIMP-tum): A problem that a patient experiences that may indicate disease but cannot be seen and does not show up on medical tests or procedures; some examples include headache, fatigue, nausea, or pain. from high blood pressure don’t usually occur until it causes serious health problems. About 1 in 3 U.S. adults with high blood pressure aren’t even aware they have it and are not being treated to control their blood pressure. That’s why it is important to have your blood pressure checked at least once a year. Regular monitoring using home blood pressure is also recommended. To control or lower high blood pressure, your healthcare provider may recommend that you adopt a heart-healthy lifestyle that includes: Choosing a heart-healthy dietary pattern and foods such as those in the DASH eating plan , the Dietary Guidelines for Americans, or the Mediterranean eating pattern Being physically active and reducing sedentary behavior Losing weight for people with overweight or obesity Quitting smoking Reducing stress Getting enough good-quality sleep Your healthcare provider may also recommend medicines to help control your blood pressure. Controlling your blood pressure can help prevent or delay serious health problems such as chronic kidney disease , heart attack , heart failure , stroke , and possibly vascular dementia . Find research studies and get resources on high blood pressure . Last updated on April 25, 2024"
DOC0003,NIH,"Coronary Heart Disease - What Is Coronary Heart Disease? | NHLBI, NIH",https://www.nhlbi.nih.gov/health/coronary-heart-disease,"Coronary Heart Disease < Back To Home Coronary Heart Disease 0 Coronary Heart Disease MENU < Back To Home Coronary Heart Disease What Is Coronary Heart Disease? Symptoms Diagnosis Risk Factors Causes and Prevention Treatment Living With Women and Heart Disease MORE INFORMATION Participate in a Study Fact Sheets and Handouts Research Coronary Heart Disease Coronary Heart Disease What Is Coronary Heart Disease? Language switcher English Español Heart disease is a general term for conditions that affect the heart’s structure and how it works. Heart disease is the leading cause of death in the United States. Coronary heart disease is a type of heart disease that occurs when the arteries artery (ARR-tuh-ree): A blood vessel that carries blood from the heart to the organs. Most arteries carry oxygenated blood. The pulmonary arteries carry deoxygenated blood away from the heart to the lungs. of the heart cannot deliver enough oxygen oxygen (OK-sih-jen): A gas that is essential for humans and other animals to live. It is breathed into the lungs from the air. In the lungs, it enters the bloodstream, where red blood cells transport it to cells throughout your body. -rich blood to the heart muscle due to narrowing from the buildup of fatty deposits called plaque plaque (Plak): A substance made up of fat, cholesterol, calcium, and other substances found in the blood. In some cardiovascular diseases, plaque builds up and hardens in arteries. Plaque buildup reduces blood flow and makes it more likely that blood clots will form in the arteries. These blood clots can partially or completely block blood flow and oxygen delivery to the heart, brain, kidneys, or legs, arms, or pelvis. . It is also sometimes called coronary artery disease or ischemic heart disease. Coronary heart disease is the most common type of heart disease. In 2022, coronary heart disease caused 371,506 deaths in the United States. Symptoms of coronary heart disease vary from person to person. About 1 in 20 adults aged 20 and older have coronary heart disease. But many people don't know they have the disease until they have chest pain ; the blood flow to their heart is blocked, causing a heart attack ; or their heart suddenly stops pumping blood, also known as cardiac arrest . Coronary heart disease affects the larger coronary arteries on the surface of the heart. It is caused by deposits of cholesterol cholesterol (koh-LES-teh-rol): A waxy, fatlike substance that is found in all the cells of the body. High blood cholesterol increases the risk of developing coronary heart disease. , a waxy substance that builds up inside the lining of the coronary arteries, forming plaque plaque (Plak): A substance made up of fat, cholesterol, calcium, and other substances found in the blood. In some cardiovascular diseases, plaque builds up and hardens in arteries. Plaque buildup reduces blood flow and makes it more likely that blood clots will form in the arteries. These blood clots can partially or completely block blood flow and oxygen delivery to the heart, brain, kidneys, or legs, arms, or pelvis. . This plaque can partly or completely block blood flow in the arteries of the heart: Obstructive coronary artery disease means that the diameter of a large coronary artery is blocked by 50% or more. Nonobstructive coronary artery disease means that the blood flow in a large coronary artery is blocked less than 50%. Coronary microvascular disease means blood flow into the tiny arteries within the heart muscle is blocked. This happens when there is damage to the inner walls of the heart's small blood vessels. Coronary microvascular disease is more common in women . For most people, coronary heart disease is preventable with a heart-healthy lifestyle and medicines. You may be able to stop or reverse plaque buildup in coronary arteries. Learn more about how the heart works . Your healthcare provider will diagnose coronary heart disease based on your symptoms , your medical and family history, your risk factors , and the results from heart tests . If you have coronary heart disease, you may need heart-healthy lifestyle changes, medicines, surgery , or a combination of these to manage your condition and prevent serious problems . FACTSHEET Know the Difference Learn basic facts about the various diseases that affect the heart. View the fact sheet Last updated on December 27, 2024"
